name;mass(in 10^24kg);radius(in km);pos.x;pos.y;pos.z;vel.x;vel.y;vel.z;texture index;color.r;color.g;color.b;color.a
Sun;1988500.0;695700.0;-793418.5894828094;-763713.1464755005;25782.83849613235;0.01260654814883448;-0.005078486758688182;-0.0002148008120450161;1;1.0;1.0;1.0;1.0
Mercury;0.33011;2439.7;25941802.7387016;37402818.63092749;692626.0996986236;-49.57858286093838;29.91861316756679;6.99376340540317;2;1.0;1.0;1.0;1.0
Venus;4.8675;6051.8;-90328801.17596443;58436263.78287782;6005029.413579255;-19.44223863442384;-29.39125952142425;0.7187313483472693;3;1.0;1.0;1.0;1.0
Earth;5.972168;6371.0;-140345746.8394584;49199625.89267671;23762.9900480099;-10.51430807577604;-28.17482001172409;0.0002355436484258178;4;1.0;1.0;1.0;1.0
Moon;0.07346;1737.4;-139985452.6961165;49158944.74568726;21726.52641501278;-10.40859940096287;-27.09796856217922;0.0998524207125282;5;1.0;1.0;1.0;1.0
Mars;0.64171;3389.5;-177575847.8936785;172429060.5312615;7990418.99261567;-16.03126129234845;-15.24634324697083;0.07382997137996306;6;1.0;1.0;1.0;1.0
Jupiter;1898.2;69911.0;90670326.52069989;757011778.6229624;-5168322.625036001;-13.12282603320151;2.175101696300907;0.2845622237742279;7;1.0;1.0;1.0;1.0
Saturn;568.34;58232.0;1420001254.203804;-216275009.1054483;-52777188.82822394;0.9169196520317947;9.52927860421187;-0.2021444850354412;8;1.0;1.0;1.0;1.0
Uranus;86.810;25362.0;1631276234.056208;2424891830.839038;-12127471.125862;-5.700588743045896;3.483776723905328;0.0869727416758923;9;1.0;1.0;1.0;1.0
Neptune;102.409;24622.0;4469439671.073112;-67741295.49002129;-101607804.6891108;0.04658450805790136;5.466236349881607;-0.1142972136754654;10;1.0;1.0;1.0;1.0
Pluto;0.013025;2376.6;2750529810.692471;-4481555246.450173;-316061351.2543485;4.796437730554729;1.657268774987181;-1.562259528028751;11;1.0;1.0;1.0;1.0
